"siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","CODE_12","libelle_fr","AREA_HA","geometry","color"
"DM_Rom_Jul-28","Base","None",-61.6652685581305,16.0582793546448,"3220",4770875.8918372,2.0960511710459e-07,"None","3220","Landes et broussailles",1431.262767,c(642774.559105583, 1775842.0013738),"#5DC863FF"
"DM_Rom_Jul-29","Base","None",-61.668853380208,16.0408708980447,"3220",4770875.8918372,2.0960511710459e-07,"None","3220","Landes et broussailles",1431.262767,c(642403.410039613, 1773913.45425548),"#5DC863FF"
"DM_Rom_Jul-30","Base","None",-61.6686989450061,16.0641109554019,"3220",4770875.8918372,2.0960511710459e-07,"None","3220","Landes et broussailles",1431.262767,c(642403.410039613, 1776484.85041324),"#5DC863FF"
"DM_Rom_Jul-31","Base","None",-61.2130489066628,16.2525449844747,"3230",23329772.5769073,4.28636840202136e-08,"None","3230","Végétation sclérophylle",6998.931775,c(690972.99847083, 1797704.49026207),"#8FD744FF"
"DM_Rom_Jul-32","Base","None",-61.0897395847502,16.3028429072333,"3230",23329772.5769073,4.28636840202136e-08,"None","3230","Végétation sclérophylle",6998.931775,c(704103.146234344, 1803390.01102139),"#8FD744FF"
"DM_Rom_Jul-33","Base","None",-61.3964476555144,16.3567743495527,"3230",23329772.5769073,4.28636840202136e-08,"None","3230","Végétation sclérophylle",6998.931775,c(671277.776825558, 1809075.53178072),"#8FD744FF"
"DM_Rom_Jul-34","Base","None",-61.6408538611645,16.0262230659294,"3240",20854552.3626006,4.7951161099643e-08,"None","3240","Forêt et végétation arbustive en mutation",6256.365704,c(645409.837528445, 1772312.23699694),"#C7E020FF"
"DM_Rom_Jul-35","Base","None",-61.647858407641,16.0627038835899,"3240",20854552.3626006,4.7951161099643e-08,"None","3240","Forêt et végétation arbustive en mutation",6256.365704,c(644633.997469647, 1776343.6201981),"#C7E020FF"
"DM_Rom_Jul-36","Base","None",-61.3200229921857,16.2425402596453,"3240",20854552.3626006,4.7951161099643e-08,"None","3240","Forêt et végétation arbustive en mutation",6256.365704,c(679546.800115558, 1796500.53620388),"#C7E020FF"
"DM_Rom_Jul-37","Base","None",-61.5263160026297,16.4361755538612,"4110",4878390.56173384,2.04985637649436e-07,"None","4110","Marais intérieurs",1463.517169,c(657339.83976199, 1817756.28730774),"#FDE725FF"
"DM_Rom_Jul-38","Base","None",-61.5415064547854,16.2835552524684,"4110",4878390.56173384,2.04985637649436e-07,"None","4110","Marais intérieurs",1463.517169,c(655838.821606822, 1800857.32920681),"#FDE725FF"
"DM_Rom_Jul-39","Base","None",-61.3162191578189,15.9353344606711,"4110",4878390.56173384,2.04985637649436e-07,"None","4110","Marais intérieurs",1463.517169,c(680230.366628307, 1762509.69351625),"#FDE725FF"
